steamid	appid	playtime_forever
76561197960266923	209170	7476
76561197960266923	72850	192
76561197960266896	10	3293
76561197960266896	240	8886
76561197960266560	400	300
76561197960266560	550	72
76561197960266560	620	2070
76561197960266560	8980	72
76561197960266560	9200	103
76561197960266560	200260	1008
76561197960266560	35140	423
76561197960266560	50650	1568
76561197960266560	205190	7655
76561197960266560	730	21417
76561197960266560	50620	1113
76561197960266560	8870	885
76561197960266560	630	140
76561197960267047	10	90
76561197960267047	240	1024
76561197960267047	300	259
76561197960267047	730	366
76561197960266389	10	46603
76561197960266389	20	159
76561197960266389	50	170
76561197960266389	70	322
76561197960266389	130	85
76561197960266501	10	5826
76561197960266501	70	203
76561197960266501	240	2508
76561197960266501	380	250
76561197960266501	420	331
76561197960266501	550	208
76561197960266501	105450	515
76561197960266501	200390	60
76561197960266501	730	845
76561197960266501	4920	724
76561197960266501	57690	1109
76561197960266501	39140	3205
76561197960266501	235250	130
76561197960266501	239820	500
76561197960266501	440	8699
76561197960266501	570	553
76561197960266501	214850	298
76561197960266501	245550	111
76561197960266501	271290	87
76561197960267107	10	286
76561197960267288	10	1608
76561197960266629	4560	904
76561197960266629	40370	92
76561197960267376	10	92
76561197960267376	24960	27999
76561197960267376	400	73
76561197960266980	30	153
76561197960266980	240	1126
76561197960266980	300	363
76561197960266980	1250	237
76561197960266980	10180	466
76561197960266980	10190	530
76561197960266980	32440	442
76561197960266980	550	527
76561197960266980	43110	115
76561197960266980	55100	137
76561197960266980	9200	1284
76561197960266980	57400	277
76561197960266980	42680	346
76561197960266980	730	433
76561197960266980	8870	954
76561197960267257	10	1034
76561197960267257	70	172
76561197960267257	80	178
76561197960267257	220	1199
76561197960267257	240	7022
76561197960267257	300	127
76561197960267257	320	110
76561197960267257	550	185
76561197960267257	28050	1210
76561197960267257	72850	1195
76561197960267257	2420	237
76561197960267257	207610	116
76561197960267257	108710	831
76561197960267257	730	3050
76561197960267257	49520	4820
76561197960267257	220240	2325
76561197960267257	8140	205
76561197960267257	203160	837
76561197960267257	224960	138
76561197960267257	440	494
76561197960267257	24200	473
76561197960266564	10	385
76561197960266564	240	263
76561197960266564	17410	72
76561197960266564	620	676
76561197960266564	80310	169
76561197960266564	48240	256
76561197960266564	730	1422
76561197960266564	225420	305
76561197960266564	220200	584
76561197960266591	550	1083
76561197960266591	25900	666
